,,,RA,,,,DEC,F60,,,,,,,F100,T,B,,M,
4,40,20.32,70.0846666666667,45,12,36.8,45.2102222222222,4.9004,4,40,20.32,45,12,36.8,23.223,23.3579230957261,8.39744978686834E-16,8.39744978686834,2.62465339352529E+028,2.62465339352529
4,40,19.95,70.083125,45,11,9.7,45.1860277777778,4.8348,4,40,20.32,45,11,9.7,22.769,23.3935895156916,8.4768722300832E-16,8.4768722300832,2.59867076795982E+028,2.59867076795982
4,40,22.2,70.0925,45,9,42.5,45.1618055555556,5.0315,4,40,22.2,45,9,42.5,22.565,23.6755852824998,9.12280207659841E-16,9.12280207659841,2.41338037691184E+028,2.41338037691184
4,40,21.08,70.0878333333333,45,8,3.5,45.1343055555556,5.845,4,40,21.08,45,7,59.6,22.914,24.4879867972691,1.11668442865696E-15,11.1668442865696,1.97042104725358E+028,1.97042104725358
4,40,23.71,70.0987916666667,45,2,15.1,45.0375277777778,4.9721,4,40,23.71,45,2,15.1,22.856,23.5322985220515,8.79058859374009E-16,8.79058859374009,2.49769452084662E+028,2.49769452084662
4,40,24.84,70.1035,45,0,36.1,45.0100277777778,4.916,4,40,24.84,45,0,40,22.833,23.4728021254586,8.6550811562824E-16,8.6550811562824,2.53525045796029E+028,2.53525045796029
4,40,11.69,70.0487083333333,45,14,3.8,45.2343888888889,4.8216,4,40,11.69,45,13,59.9,23.188,23.274661472586,8.21400949854043E-16,8.21400949854043,2.6847030739465E+028,2.6847030739465
4,40,11.7,70.04875,45,12,28.8,45.208,4.7587,4,40,11.7,45,12,24.8,22.789,23.2985304062673,8.26631599607015E-16,8.26631599607015,2.66615887137244E+028,2.66615887137244
4,40,11.71,70.0487916666667,45,11,5.6,45.1848888888889,4.668,4,40,12.08,45,11,5.6,22.538,23.2524332370682,8.16550103067655E-16,8.16550103067655,2.69769665897853E+028,2.69769665897853
4,40,13.59,70.056625,45,9,26.6,45.1573888888889,4.6713,4,40,13.59,45,9,26.6,22.023,23.3873788652549,8.46300581735613E-16,8.46300581735613,2.60127888648508E+028,2.60127888648508
4,40,13.59,70.056625,45,7,55.6,45.1321111111111,5.0248,4,40,13.59,45,7,51.6,22.147,23.7774165494145,9.36397689459089E-16,9.36397689459089,2.34967636610868E+028,2.34967636610868
4,40,13.23,70.055125,45,6,16.6,45.1046111111111,5.2378,4,40,13.6,45,6,20.5,22.588,23.9064936480709,9.67579495945107E-16,9.67579495945107,2.27256869267126E+028,2.27256869267126
4,40,14.36,70.0598333333334,45,5,1.3,45.0836944444445,5.143,4,40,14.36,45,5,1.3,22.982,23.6966657771601,9.17238107248204E-16,9.17238107248204,2.39618387661596E+028,2.39618387661596
4,40,15.86,70.0660833333333,45,3,38.2,45.0606111111111,4.9546,4,40,15.86,45,3,34.2,22.918,23.4963883461694,8.70863021964239E-16,8.70863021964239,2.52249294628246E+028,2.52249294628246
4,40,15.12,70.063,45,2,3.1,45.0341944444445,4.7811,4,40,15.49,45,2,3.1,22.256,23.460014348619,8.6261417381788E-16,8.6261417381788,2.5451216316182E+028,2.5451216316182
4,40,15.5,70.0645833333333,45,0,28.1,45.0078055555556,4.7769,4,40,15.5,45,0,28.1,22.172,23.4766666580934,8.66383970896964E-16,8.66383970896964,2.53256244905596E+028,2.53256244905596
4,40,19.61,70.0817083333333,44,59,8.9,44.9858055555556,4.8142,4,40,19.24,44,59,5,23.029,23.3048595831494,8.28022362542236E-16,8.28022362542236,2.64859874603875E+028,2.64859874603875
4,40,2.3,70.0095833333333,45,15,22.9,45.2563611111111,4.9205,4,40,2.68,45,15,18.9,23.201,23.3866081561086,8.46128614127633E-16,8.46128614127633,2.60750999791528E+028,2.60750999791528
4,40,1.94,70.0080833333333,45,13,59.7,45.23325,4.8305,4,40,2.32,45,14,3.7,23.011,23.3284299118086,8.33215639467341E-16,8.33215639467341,2.64656834160588E+028,2.64656834160588
4,40,3.08,70.0128333333334,45,12,0.9,45.20025,4.7884,4,40,3.08,45,12,0.9,22.827,23.3243187529468,8.32308236191022E-16,8.32308236191022,2.64752078289548E+028,2.64752078289548
4,40,3.09,70.012875,45,11,1.5,45.18375,4.692,4,40,3.09,45,11,1.5,22.333,23.333056129384,8.34237527477618E-16,8.34237527477618,2.64043379794219E+028,2.64043379794219
4,40,4.6,70.0191666666667,45,9,22.6,45.1562777777778,4.4806,4,40,4.6,45,9,22.6,21.668,23.2433833009109,8.14580733009546E-16,8.14580733009546,2.70250642815596E+028,2.70250642815596
4,40,5.36,70.0223333333333,45,7,39.6,45.1276666666667,4.5275,4,40,5.36,45,7,39.6,21.834,23.2590447750346,8.17990893313825E-16,8.17990893313825,2.68953464820831E+028,2.68953464820831
4,40,5.37,70.022375,45,6,16.5,45.1045833333333,4.639,4,40,5.38,45,6,12.5,22.121,23.322727374447,8.31957171769395E-16,8.31957171769395,2.64303210619239E+028,2.64303210619239
4,40,6.13,70.0255416666667,45,5,1.2,45.0836666666667,4.9028,4,40,6.13,45,5,5.2,22.634,23.5076622860638,8.7343050231111E-16,8.7343050231111,2.51636484368055E+028,2.51636484368055
4,40,5.77,70.0240416666667,45,3,22.2,45.0561666666667,4.8655,4,40,6.14,45,3,26.2,22.523,23.4920108547074,8.69867487575117E-16,8.69867487575117,2.52513077077035E+028,2.52513077077035
4,40,7.28,70.0303333333333,45,1,59.1,45.0330833333333,4.6433,4,40,7.28,45,1,51.2,21.866,23.3938893724696,8.47754210455698E-16,8.47754210455698,2.58967021191867E+028,2.58967021191867
4,40,7.66,70.0319166666667,45,0,20.1,45.0055833333333,4.6449,4,40,8.03,45,0,24.1,21.676,23.4457201231378,8.59387074854383E-16,8.59387074854383,2.55305582315422E+028,2.55305582315422
4,40,9.53,70.0397083333333,44,59,8.8,44.9857777777778,4.6826,4,40,9.53,44,59,8.8,22.333,23.3216886118215,8.31728070820381E-16,8.31728070820381,2.63679646493868E+028,2.63679646493868
